Station Name,lovelyDay871,,,,,,
Download Time,Sun Feb 18 2018 16:59:12 GMT-0600,,,,,,
,,,,,,,
N,Date,Temp F,Temp C,Flow l/s,Pump,dhtTemp C,dhtRH %
144,Sun Feb 18 2018 16:57:41 GMT-0600,81.57,27.16,0.67,1,21.7,39.7
145,Sun Feb 18 2018 16:57:42 GMT-0600,81.63,27.78,0.67,1,21.7,39.7
146,Sun Feb 18 2018 16:57:43 GMT-0600,81.05,27.33,0.67,1,21.7,39.7
147,Sun Feb 18 2018 16:57:44 GMT-0600,80.83,27.25,0.66,1,21.7,39.7
148,Sun Feb 18 2018 16:57:45 GMT-0600,82.31,27.66,0.65,1,21.7,39.6
149,Sun Feb 18 2018 16:57:46 GMT-0600,81.05,27.78,0.67,1,21.7,39.6
150,Sun Feb 18 2018 16:57:47 GMT-0600,81.05,27.78,0.67,1,21.7,39.6
151,Sun Feb 18 2018 16:57:48 GMT-0600,78.69,27.13,0.67,1,21.7,39.6
152,Sun Feb 18 2018 16:57:49 GMT-0600,82.72,27.66,0.67,1,21.7,39.6
153,Sun Feb 18 2018 16:57:50 GMT-0600,81.41,27.45,0.66,1,21.7,39.7
154,Sun Feb 18 2018 16:57:51 GMT-0600,81.79,27.13,0.66,1,21.7,39.7
155,Sun Feb 18 2018 16:57:52 GMT-0600,81.05,27.25,0.67,1,21.7,39.6
156,Sun Feb 18 2018 16:57:53 GMT-0600,81.41,27.78,0.67,1,21.7,39.5
157,Sun Feb 18 2018 16:57:54 GMT-0600,81.63,26.92,0.67,1,21.7,39.3
158,Sun Feb 18 2018 16:57:55 GMT-0600,82,27.45,0.67,1,21.7,39.3
159,Sun Feb 18 2018 16:57:56 GMT-0600,82,26.83,0.67,1,21.7,39.3
160,Sun Feb 18 2018 16:57:57 GMT-0600,80.08,27.25,0.67,1,21.7,39.4
161,Sun Feb 18 2018 16:57:58 GMT-0600,80.83,26.92,0.66,1,21.7,39.4
162,Sun Feb 18 2018 16:57:59 GMT-0600,82.79,27.13,0.67,1,21.7,39.3
